Species  code, Family ,Species ,Dispersed?,By
84,Solanaceae,Acnistus arborescens (L.) Schltdl.,Yes,Birds
69,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,Yes,Birds
9,Euphorbiaceae,Alchornea glandulosa Poepp. & Endl.,Yes,Birds and northern muriqui (primate)
72,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,Yes,Birds
78,Fabaceae,Andira fraxinifolia Benth.,Yes,Bats
138,Annonaceae,Annona sylvatica A.St.-Hil.,Yes,Peccary
428,Malpighiaceae,Byrsonima sp. 1,Possibly,Birds and mammals
22,Meliaceae,Cabralea canjerana (Vell.) Mart.,Yes,Birds and primate
223,Myrtaceae,Calyptranthes sp. 1,Possibly,Birds and primate
122,Myrtaceae,Campomanesia xanthocarpa (Mart.) O.Berg,Yes,Birds and mammals
60,Salicaceae,Casearia decandra Jacq.,Yes,Birds and mammals
11,Salicaceae,Casearia gossypiosperma Briq.,Yes,Primate
10,Salicaceae,Casearia sylvestris Sw.,Yes,Birds and primate
5,Urticaceae,Cecropia pachystachya Trécul,Yes,"Birds and mammals (bats, primates, marsupials)"
103,Cannabaceae,Celtis cf. iguanaea (Jacq.) Sarg.,Yes,"Mammals, fish and birds"
448,Cannabaceae,Celtis sp. 1,Possibly,"Mammals, fish and birds"
2568,Cannabaceae,Celtis spp.,Possibly,"Mammals, fish and birds"
24,Sapotaceae,Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.,Yes,"Lizard, bats, fish, birds and ungulates"
61,Fabaceae,Copaifera langsdorffii Desf.,Yes,"Birds, bats, mammals"
309,Boraginaceae,Cordia ecalyculata Vell.,Yes,"Lizards, primates, birds"
106,Sapindaceae,Cupania vernalis Cambess.,Yes,Birds
123,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,Yes,Birds
53,Ebenaceae,Diospyros inconstans Jacq.,Yes,Bird and primates
85,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,Yes,Primate and ungulates
228,Rosaceae,Eriobotrya japonica (Thunb.) Lind,Yes,Birds and bats
34,Myrtaceae,Eugenia dodonaeifolia Cambess.,Yes,Primates
62,Myrtaceae,Eugenia florida DC.,Yes,Bird
199,Myrtaceae,Eugenia pyriformis Cambess.,Yes,Primates and bird
89,Moraceae,Ficus guaranitica Chodat,Yes,Birds bats and mammals
56,Nyctaginaceae,Guapira opposita (Vell.) Reitz,Yes,Fish birds and primate
66,Malvaceae,Guazuma ulmifolia Lam.,Yes,Mammals
51,Fabaceae,Inga vera Willd.,Yes,"Primates, fish and bat"
73,Moraceae,Maclura tinctoria (L.) D.Don ex Steud.,Yes,Birds and mammals
13,Anacardiaceae,Mangifera indica L,Yes,Tapir and bird
74,Sapindaceae,Matayba elaeagnoides Radlk.,Yes,Birds and mammal
50,Celastraceae,Maytenus gonoclada Mart.,Yes,Primates and birds
107,Meliaceae,Melia azedarach L.,Yes,Birds
167,Melastomataceae,Miconia albicans (Sw.) Triana,Yes,Birds and mammals
79,Myrtaceae,Myrcia splendens (Sw.) DC.,Yes,Birds and mammals
130,Myrtaceae,Myrcia tomentosa (Aubl.) DC.,Yes,Birds
137,Myrtaceae,Myrciaria floribunda (H.West ex Willd.) O.Berg,Yes,Bird and primate
120,Primulaceae,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,Yes,Birds and primates
155,Primulaceae,Myrsine umbellata Mart.,Yes,Birds
23,Lauraceae,Nectandra lanceolata Nees,Yes,Birds
19,Lauraceae,Nectandra megapotamica (Spreng.) Mez,Yes,Birds and primate
162,Lauraceae,Ocotea puberula  (Rich.) Nees,Yes,Birds and primate
427,Lauraceae,Ocotea pulchella  (Nees & Mart.) Mez,Yes,Birds and primates
119,Fabaceae,Ormosia spp.,Possibly,Mammals
65,Peraceae,Pera glabrata (Schott) Poepp. ex Baill.,Yes,Birds
99,Myrtaceae,Psidium guajava L.,Yes,Birds and mammals
114,Myrtaceae,Psidium sartorianum (O.Berg) Nied.,Yes,Fishes and primates
63,Rhamnaceae,Rhamnidium elaeocarpum Reissek,Yes,Primates and fish
227,Rubiaceae,Rudgea jasminoides (Cham.) Müll.Arg.,Yes,Birds
177,Euphorbiaceae,Sapium glandulosum (L.) Morong,Yes,Birds and primate
160,Siparunaceae,Siparuna guianensis Aubl.,Yes,Primates
117,Arecaceae,Syagrus romanzoffiana (Cham.) Glassman,Yes,Birds and mammals
206,Myrtaceae,Syzygium sp. 1,Possibly,Birds and mammals
124,Anacardiaceae,Tapirira guianensis Aubl.,Yes,"Birds, mammals and lizard"
126,Cannabaceae,Trema micrantha (L.) Blume,Yes,Birds and mammals
111,Meliaceae,Trichilia catigua A.Juss.,Yes,Birds
92,Meliaceae,Trichilia clausseni C.DC.,Yes,Birds
128,Meliaceae,Trichilia elegans A.Juss.,Yes,Birds
1,Meliaceae,Trichilia pallida Sw.,Yes,Birds
3,Rutaceae,Zanthoxylum rhoifolium Lam.,Yes,Birds
379,Rutaceae,Zanthoxylum riedelianum Engl.,Yes,Fish and bird
2521,Rutaceae,Zanthoxylum spp. ,Possibly,
