data,parcela,especie,amostra,fc,seeds,genetic,dna_extracted,no_morpho,no_seeds,seed_size,morpho_spp,s_family
10-Aug-2022,88,Turdus leucomelas,027,y,1,1,1,1,2,small,A,Moraceae
24-Aug-2022,64,Eucometis penicillata,040,y,1,1,0,1,56,small,B,Salicaceae
24-Aug-2022,64,Cnemotriccus fuscatus,043,y,1,1,0,1,4,small,B,Salicaceae
26-Aug-2022,84,Nemosia pileata,050,y,1,1,0,1,6,small,B,Salicaceae
26-Aug-2022,84,Eucometis penicillata,052,y,1,1,1,1,31,small ,B,Salicaceae
30-Aug-2022,206,Turdus leucomelas,053,y,1,1,1,2,22,small ,B,Salicaceae
30-Aug-2022,206,Turdus leucomelas,053,y,1,1,1,2,1,large,C,Lauraceae
1-Sep-2022,207,Manacus manacus,064,y,1,1,1,1,25,small ,E,Melastomataceae
7-Sep-2022,56,Tachyphonus coronatus,070,y,1,1,1,1,23,small,B,Salicaceae
13-Sep-2022,56,Turdus leucomelas,073,y,1,1,1,2,20,small ,B,Salicaceae
13-Sep-2022,56,Turdus leucomelas,073,y,1,1,1,2,8,medium,H,Solanaceae
16-Sep-2022,90,Leptopogon amaurocephalus,075,y,1,1,0,1,7,small,B,Salicaceae
21-Sep-2022,20,Eucometis penicillata,084,y,1,1,1,1,8,small,B,Salicaceae
21-Sep-2022,20,Antilophia galeata,087,y,1,1,0,1,1,large,I,-
4-Oct-2022,87,Arremon flavirostris,099,y,1,1,0,1,3,small,J,-
4-Oct-2022,87,Ramphocelus carbo,103,y,1,1,0,1,1,small,K,-
4-Oct-2022,87,Myiodynastes maculatus,104,y,1,1,0,2,1,small,B,Salicaceae
4-Oct-2022,87,Myiodynastes maculatus,104,y,1,1,0,2,1,medium,L,-
5-Oct-2022,207,Ramphocelus carbo,109,y,1,1,0,1,43,small,B,Salicaceae
5-Oct-2022,207,Ramphocelus carbo,110,y,1,1,0,3,49,small,M,-
5-Oct-2022,207,Ramphocelus carbo,110,y,1,1,0,3,1,medium,N,-
5-Oct-2022,207,Ramphocelus carbo,110,y,1,1,0,3,1,medium,O,-
6-Oct-2022,206,Antilophia galeata,113,y,1,1,1,1,2,medium,P,Rubiaceae
13-Oct-2022,90,Antilophia galeata,132,y,1,1,1,1,87,small,F,Melastomataceae
18-Oct-2022,20,Myiarchus ferox,136,y,1,1,0,1,1,small,B,Salicaceae
8-Nov-2022,90,Turdus amaurochalinus,181,y,1,1,1,1,41,small,E,Melastomataceae
18-Nov-2022,56,Antilophia galeata,195,y,1,1,1,3,2,medium,T,Loranthaceae
18-Nov-2022,56,Antilophia galeata,195,y,1,1,1,3,2,medium,U,unknown
18-Nov-2022,56,Antilophia galeata,195,y,1,1,1,3,15,small,V,Rosaceae
19-Nov-2022,88,Turdus leucomelas,198,y,1,1,1,1,3,medium,W,unknown 
19-Nov-2022,88,Turdus amaurochalinus,199,y,1,1,1,1,1,medium,X,Magnoliaceae
19-Nov-2022,88,Turdus leucomelas,201,y,1,1,1,1,2,medium,X,Magnoliaceae
9-Dec-2022,87,Thraupis sayaca,212,y,1,1,0,2,8,small,E,Melastomataceae
9-Dec-2022,87,Thraupis sayaca,212,y,1,1,0,2,1,small,Y,unknown
23-Dec-2022,90,Pitangus sulphuratus,238,y,1,1,0,1,22,small,E,Melastomataceae
23-Dec-2022,90,Myiarchus ferox,241,y,1,1,0,1,27,small,E,Melastomataceae
23-Dec-2022,90,Pitangus sulphuratus,242,y,1,1,1,1,20,small,E,Melastomataceae
23-Dec-2022,90,Pitangus sulphuratus,243,y,1,1,0,1,195,small,E,Melastomataceae
23-Dec-2022,90,Pitangus sulphuratus,244,y,1,1,0,1,56,small,E,Melastomataceae
23-Dec-2022,90,Myiarchus ferox,246,y,1,1,0,1,25,small,E,Melastomataceae
2-Jan-2023,88,Thlypopsis sordida,252,y,1,1,0,1,38,small,E,Melastomataceae
2-Jan-2023,88,Tachyphonus coronatus,253,y,1,1,1,1,55,small,E,Melastomataceae
2-Jan-2023,88,Antilophia galeata,255,y,1,1,1,2,64,small,E,Melastomataceae
2-Jan-2023,88,Antilophia galeata,255,y,1,1,1,2,1,large ,Z,unknown
3-Jan-2023,84,Turdus leucomelas,257,y,1,1,0,1,6,small,AA,unknown
16-Jan-2023,22,Antilophia galeata,268,y,1,1,1,3,1,large,AD,unknown
16-Jan-2023,22,Antilophia galeata,268,y,1,1,1,3,4,medium,AE,unknown
16-Jan-2023,22,Antilophia galeata,268,y,1,1,1,3,1,medium,AF,unknown
17-Jan-2023,87,Ramphocelus carbo,269,y,1,1,1,1,182,small,E,Melastomataceae
17-Jan-2023,87,Arremon flavirostris,271,?,1,1,0,1,10,small,-,-
18-Jan-2023,207,Tachyphonus coronatus,272,y,1,1,0,1,24,small,AG,unknown
14-Feb-2023,20,Manacus manacus,286,y,1,1,1,2,2,medium,AA,Boraginaceae?
14-Feb-2023,20,Manacus manacus,286,y,1,1,1,2,1,medium,AB,unknown
14-Feb-2023,20,Manacus manacus,286,y,1,1,1,2,1,medium,AC,Asteraceae?
14-Feb-2023,20,Manacus manacus,287,y,1,1,0,1,1,medium,AB,unknown
14-Feb-2023,20,Antilophia galeata,290,y,1,1,0,1,1,medium,AI,unknown
8-Mar-2023,90,Antilophia galeata,297,y,1,1,1,1,1,large,AJ,Siparunaceae
20-Mar-2023,207,Ramphocelus carbo,321,y,1,1,0,1,88,small,R,unknown
20-Mar-2023,207,Ramphocelus carbo,322,y,1,1,0,1,153,small,AK,unknown
27-Abr-2023,88,Antilophia galeata,360,y,1,1,1,1,71,small,G,Melastomataceae
01-Mai-2023,56,Lathrotriccus euleri,365,y,1,1,0,1,2,small,S,unknown
12-Mai-2023,22,Eucometis penicillata,372,y,1,1,0,1,5,small,AR,unknown
19-Mai-2023,84,Antilophia galeata,381,y,1,1,1,2,2,medium,AL,unknown
19-Mai-2023,84,Antilophia galeata,381,y,1,1,1,2,1,medium,AM,unknown
23-Mai-2023,207,Antilophia galeata,384,y,1,1,0,1,20,small,E,Melastomataceae
23-Mai-2023,207,Antilophia galeata,385,y,1,1,0,1,2,large,C,Lauraceae
1-Jun-2023,56,Eucometis penicillata,400,y,1,1,0,1,5,medium,AH,unknown
8-Jun-2023,87,Antilophia galeata,410,y,1,1,1,2,1,large,AD,unknown
8-Jun-2023,87,Antilophia galeata,410,y,1,1,1,2,3,small,G,unknown
13-Jun-2023,207,Antilophia galeata,412,y,1,1,1,3,4,large,C,Lauraceae
13-Jun-2023,207,Antilophia galeata,412,y,1,1,1,3,78,small,E,Melastomataceae
13-Jun-2023,207,Antilophia galeata,412,y,1,1,1,3,1,medium,P,Rubiaceae
23-Jun-2023,56,Tachyphonus coronatus,419,y,1,1,1,2,6,small,AG,unknown
23-Jun-2023,56,Tachyphonus coronatus,419,y,1,1,1,2,2,medium,AH,unknown
23-Jun-2023,56,Tachyphonus coronatus,420,y,1,1,0,1,2,small,AG,unknown
29-Jun-2023,64,Tachyphonus coronatus,432,y,1,1,0,1,1,medium,AN,unknown
5-Jul-2023,20,Manacus manacus,437,y,1,1,0,1,2,large,AO,unknown
11-Jul-2023,207,Antilophia galeata,447,y,1,1,0,3,95,small,AP,unknown
11-Jul-2023,207,Antilophia galeata,447,y,1,1,0,3,4,small,E,Melastomataceae
11-Jul-2023,207,Antilophia galeata,447,y,1,1,0,3,2,small,R,unknown
25-Jul-2023,64,Antilophia galeata,458,y,1,1,0,3,7,medium,P,Rubiaceae
25-Jul-2023,64,Antilophia galeata,458,y,1,1,0,3,27,small,R,unknown
28-Jul-2023,20,Manacus manacus,468,y,1,1,1,3,1,small,AG,unknown
28-Jul-2023,20,Manacus manacus,468,y,1,1,1,3,1,small,AO,unknown
28-Jul-2023,20,Manacus manacus,468,y,1,1,1,3,60,small,D,Melastomataceae
2-Aug-2023,84,Turdus amaurochalinus,477,y,1,1,0,1,1,small,AQ,unknown
10-Aug-2023,207,Turdus leucomelas,481,y,1,1,0,1,4,large,AS,unknown
10-Aug-2023,207,Antilophia galeata,482,y,1,1,1,2,2,large,AS,unknown
10-Aug-2023,207,Antilophia galeata,482,y,1,1,1,2,100,small,F,Melastomataceae
