"","plant_genus","plant_family","growth_form","origin","fruit_type"
"1","Albizia","Fabaceae","tree","native","dry"
"2","Alchornea","Euphorbiaceae","tree","native","fleshy"
"3","Allophylus","Sapindaceae","tree","native","fleshy"
"4","Amphilophium","Bignoniaceae","climbing","native","dry"
"5","Aspidosperma","Apocynaceae","tree","native","dry"
"6","Banisteriopsis","Malpighiaceae","climbing","native","dry"
"7","Bunchosia","Malpighiaceae","shrub","native","fleshy"
"8","Byrsonima","Malpighiaceae","tree","native","fleshy"
"9","Calyptranthes","Myrtaceae","tree","native","fleshy"
"10","Casearia","Salicaceae","tree","native","fleshy"
"11","Cecropia","Urticaceae","tree","native","fleshy"
"12","Centrolobium","Fabaceae","tree","native","dry"
"13","Cestrum","Solanaceae","shrub","native","fleshy"
"14","Chamaecrista","Fabaceae","shrub","native","dry"
"15","Chamissoa","Amaranthaceae","shrub","native","dry"
"16","Chrysophyllum","Sapotaceae","tree","native","fleshy"
"17","Citharexylum","Verbenaceae","tree","native","fleshy"
"18","Coffea","Rubiaceae","shrub","exotic","fleshy"
"19","Cordia","Boraginaceae","tree","native","fleshy"
"20","Cornus","Cornaceae","tree","exotic","fleshy"
"21","Dendropanax","Araliaceae","tree","native","fleshy"
"22","Desmodium","Fabaceae","herbaceous","native","dry"
"23","Eugenia","Myrtaceae","tree","native","fleshy"
"24","Ficus","Moraceae","tree","native","fleshy"
"25","Fridericia","Bignoniaceae","climbing","native","dry"
"26","Gallesia","Petiveriaceae","tree","native","dry"
"27","Geophila","Rubiaceae","herbaceous","native","fleshy"
"28","Gouania","Rhamnaceae","climbing","native","dry"
"29","Handroanthus","Bignoniaceae","tree","native","dry"
"30","Jacaratia","Caricaceae","tree","native","fleshy"
"31","Lacistema","Lacistemataceae","tree","native","fleshy"
"32","Leucaena","Fabaceae","tree","exotic","dry"
"33","Lippia/Lantana","Verbenaceae","shrub","native","fleshy"
"34","Lithraea","Anacardiaceae","tree","native","fleshy"
"35","Lonchocarpus","Fabaceae","tree","native","dry"
"36","Luehea","Malvaceae","tree","native","dry"
"37","Machaerium","Fabaceae","tree","native","dry"
"38","Maclura","Moraceae","tree","native","fleshy"
"39","Manilkara","Sapotaceae","tree","native","fleshy"
"40","Matayba","Sapindaceae","tree","native","fleshy"
"41","Metrodorea","Rutaceae","tree","native","dry"
"42","Miconia","Melastomataceae","tree","native","fleshy"
"43","Mimosa","Fabaceae","shrub","native","dry"
"44","Morus","Moraceae","shrub","exotic","fleshy"
"45","Myrcia","Myrtaceae","tree","native","fleshy"
"46","Myrcianthes","Myrtaceae","tree","native","fleshy"
"47","Myriopus","Boraginaceae","climbing","native","fleshy"
"48","Nicotiana","Solanaceae","herbaceous","native","dry"
"49","Nicotiana","Solanaeceae","herbaceous","native","dry"
"50","Ocotea","Lauraceae","tree","native","fleshy"
"51","Oryza","Poaceae","herbaceous","exotic","dry"
"52","Pera","Peraceae","tree","native","fleshy"
"53","Piper","Piperaceae","shrub","native","fleshy"
"54","Prockia","Salicaceae","tree","native","fleshy"
"55","Psidium","Myrtaceae","tree","native","fleshy"
"56","Psychotria","Rubiaceae","shrub","native","fleshy"
"57","Pyrus","Rosaceae<U+00A0>","tree","exotic","fleshy"
"58","Rhamnidium","Rhamnaceae","tree","native","fleshy"
"59","Rubus","Rosaceae","climbing","native","fleshy"
"60","Ruellia","Acanthaceae","herbaceous","native","dry"
"61","Sarracenia","Sarraceniaceae","herbaceous","native","dry"
"62","Schinus","Anacardiaceae","tree","native","fleshy"
"63","Senna","Fabaceae","tree","native","dry"
"64","Serjania/Paullinia","Sapindaceae","climbing","native","fleshy"
"65","Siparuna","Siparunaceae","shrub","native","fleshy"
"66","Solanum","Solanaceae","herbaceous","native","fleshy"
"67","Stylogyne","Primulaceae","shrub","native","fleshy"
"68","Syagrus","Arecaceae","tree","native","fleshy"
"69","Syzygium","Myrtaceae","tree","exotic","fleshy"
"70","Terminalia","Combretaceae","tree","native","dry"
"71","Tilesia","Asteraceae","herbaceous","exotic","fleshy"
"72","Trema","Cannabaceae","tree","native","fleshy"
"73","Trichilia","Meliaceae","tree","native","fleshy"
"74","Zanthoxylum","Rutaceae","tree","native","fleshy"
